iter	Logloss
0	0.6322925521
1	0.5880671712
2	0.5526259168
3	0.5269366562
4	0.5040846295
5	0.4889058371
6	0.4755876924
7	0.4651847417
8	0.4569662251
9	0.4514134574
10	0.4462744015
11	0.4422111423
12	0.438057714
13	0.4352535054
14	0.4313332067
15	0.4288329246
16	0.4265609423
17	0.4244936912
18	0.4226738616
19	0.4215031124
20	0.420154472
21	0.41863501
22	0.4178902144
23	0.4170206654
24	0.4161898175
25	0.4155099162
26	0.4147806064
27	0.4142267751
28	0.4135962762
29	0.4131808953
30	0.4123258862
31	0.4117250039
32	0.4112003027
33	0.410460292
34	0.409867155
35	0.4090946063
36	0.4086934927
37	0.4081988071
38	0.4078229623
39	0.4075255136
40	0.407077748
41	0.4063100569
42	0.4059962519
43	0.4057313841
44	0.4054320985
45	0.4051638394
46	0.4048230211
47	0.4044267553
48	0.4040253626
49	0.4038016852
