iter	Passed	Remaining
0	146	7183
1	150	3621
2	155	2434
3	159	1839
4	163	1475
5	168	1232
6	172	1060
7	176	926
8	191	871
9	195	781
10	199	707
11	203	643
12	206	588
13	210	541
14	214	501
15	219	466
16	224	435
17	228	406
18	232	379
19	236	354
20	239	330
21	242	309
22	246	289
23	249	270
24	252	252
25	256	236
26	259	220
27	262	206
28	265	192
29	269	179
30	272	166
31	275	155
32	280	144
33	283	133
34	287	123
35	290	112
36	293	103
37	297	93
38	300	84
39	304	76
40	307	67
41	311	59
42	314	51
43	317	43
44	321	35
45	325	28
46	329	21
47	333	13
48	337	6
49	340	0
