iter	Passed	Remaining
0	3	3777
1	7	3752
2	13	4387
3	17	4327
4	21	4324
5	26	4333
6	31	4467
7	35	4384
8	39	4313
9	43	4306
10	49	4410
11	53	4373
12	58	4441
13	63	4502
14	67	4456
15	72	4447
16	80	4665
17	85	4666
18	89	4646
19	95	4670
20	99	4617
21	102	4564
22	106	4509
23	111	4536
24	115	4497
25	118	4443
26	121	4395
27	127	4421
28	130	4378
29	134	4341
30	137	4300
31	142	4315
32	146	4280
33	149	4245
34	152	4215
35	156	4188
36	161	4196
37	164	4165
38	167	4136
39	171	4108
40	176	4134
41	180	4109
42	183	4083
43	186	4055
44	191	4066
45	195	4049
46	198	4030
47	202	4008
48	206	4002
49	211	4017
50	215	4002
51	218	3983
52	223	3994
53	228	4001
54	233	4004
55	238	4014
56	242	4010
57	245	3990
58	248	3970
59	252	3950
60	258	3973
61	261	3955
62	264	3937
63	268	3920
64	273	3937
65	276	3919
66	280	3905
67	283	3889
68	288	3895
69	292	3880
70	295	3864
71	298	3850
72	302	3841
73	324	4063
74	331	4093
75	338	4119
76	343	4123
77	348	4117
78	353	4124
79	357	4111
80	360	4094
81	364	4078
82	366	4050
83	371	4046
84	374	4030
85	377	4015
86	381	4000
87	385	3997
88	389	3982
89	392	3969
90	396	3957
91	400	3948
92	403	3939
93	407	3924
94	410	3910
95	414	3899
96	418	3897
97	421	3883
98	426	3878
99	430	3876
100	437	3895
101	441	3885
102	444	3872
103	448	3861
104	452	3857
105	455	3845
106	459	3833
107	462	3821
108	467	3821
109	470	3809
110	474	3798
111	477	3786
112	481	3781
113	485	3770
114	488	3759
115	491	3747
116	495	3736
117	499	3734
118	503	3724
119	506	3712
120	509	3701
121	513	3696
122	517	3690
123	520	3679
124	524	3669
125	527	3658
126	532	3660
127	535	3650
128	539	3639
129	542	3629
130	547	3629
131	550	3620
132	554	3612
133	557	3601
134	560	3592
135	565	3590
136	568	3580
137	571	3572
138	575	3563
139	580	3563
140	583	3554
141	586	3545
142	590	3537
143	594	3532
144	598	3526
145	601	3517
146	604	3508
147	608	3501
148	612	3500
149	616	3493
150	619	3482
151	622	3473
152	626	3468
